farmer_id,farmer_name,aadhaar,aadhaar_hash,dob,gender,state_lgd_code,district_lgd_code,sub_district_lgd_code,village_lgd_code,mobile_no,address,farmer_category,caste_category,farm_area_ha,crop
FARM0001,Priti Yadav,XXXX-XXXX-6761,8f8731dcbb7c213fdcd4d309cfd3d0d7de84e1b050b98825c6e0e10f17662f09,1986-09-27,Female,27,469,,558532,9263940344,"Vill. C, Tal. X",Big Farmer (Land >=2 Hectare),ST,3.12,Rice
FARM0002,Sunil Joshi,XXXX-XXXX-8378,a2d49bb9f34698ff3faf734e994fe08dc6253054aa12b0503de8170ffa3a8d77,1963-11-18,Male,27,466,,550323,6881699162,"Vill. C, Tal. Z",Big Farmer (Land >=2 Hectare),OBC,3.46,Tur
FARM0003,Kavita Yadav,XXXX-XXXX-4596,92201d242267f5719d9e9f1a74430ffb98992adac1b1b6fcd2177ebe849a12c9,1959-09-07,Female,27,466,,552577,6897237260,"Vill. B, Tal. Z",Big Farmer (Land >=2 Hectare),General,3.11,Maize
FARM0004,Sangeeta Singh,XXXX-XXXX-3187,261c9d7c5071dcfae9ee87d7a9f28606c84564170c849ead2f125bf8a9a1cd66,1980-03-06,Female,27,498,,550323,7563938104,"Vill. C, Tal. Y",Marginal Farmer (Land < 1 Hectare),OBC,0.84,Groundnut
FARM0005,Anita Singh,XXXX-XXXX-4220,08cf829ec68cd144d95b8381a16f59ae6830c4bf933909b3adcc683293931b66,1992-08-01,Female,27,469,,552577,9469422962,"Vill. A, Tal. X",Small Farmer (Land >=1 & <2 Hectare),SC,1.93,Sugarcane
FARM0006,Prakash Patil,XXXX-XXXX-2972,812a31b7842fad28a31cca4b4cee37c8158d1a0bb92765a1b81979f03a0c2538,1971-10-07,Male,27,466,,558532,8599821091,"Vill. A, Tal. Y",Big Farmer (Land >=2 Hectare),ST,3.58,Wheat
FARM0007,Arjun Joshi,XXXX-XXXX-4815,6525ff71876976dfa8a8d019307ea3f9718ae348cb03f950014e670abbd5cffa,1972-01-08,Male,27,487,,552577,8266035903,"Vill. D, Tal. Y",Big Farmer (Land >=2 Hectare),General,4.47,Maize
FARM0008,Anita Yadav,XXXX-XXXX-0575,67f208d3dd57ce58473b4482604b1e9693b646ced9a9ab4e0e5b990c281d65cb,1996-11-02,Female,27,497,,552577,7757173604,"Vill. E, Tal. Y",Big Farmer (Land >=2 Hectare),SC,2.37,Gram
FARM0009,Arjun Patel,XXXX-XXXX-0294,a639e1589224dce442ab8a0020bc00029e658aa5d10d10fcb452a9f5886fb9de,1988-02-17,Male,27,497,,558123,9907266085,"Vill. A, Tal. X",Big Farmer (Land >=2 Hectare),SC,4.11,Sugarcane
FARM0010,Priya Yadav,XXXX-XXXX-5526,587f3226977e188d8088c29878c087d1ddd96933e608862208d80d5aa86c1712,1964-04-03,Female,27,498,,552577,7695954880,"Vill. D, Tal. Z",Big Farmer (Land >=2 Hectare),General,2.86,Wheat
FARM0011,Suresh Deshmukh,XXXX-XXXX-9132,c218cde3e292453aec1a39f5f287e3d996674e2dab01e5b33db0f746df362b1c,1963-04-15,Male,27,487,,550323,7654828001,"Vill. A, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),General,1.79,Cotton
FARM0012,Geeta Patel,XXXX-XXXX-4813,a09776e7f6a5e5d009905f344e8528609c1ab1ddc6cdf8c5a25f6146ebc5b092,1991-04-03,Female,27,498,,558532,6476288171,"Vill. C, Tal. Z",Big Farmer (Land >=2 Hectare),SC,4.5,Groundnut
FARM0013,Amit Joshi,XXXX-XXXX-0815,5243b200d9f19870dba9e4733cf7af9e67a04b621f220538379bc049090b339e,1983-08-08,Male,27,498,,552577,8699624153,"Vill. A, Tal. Z",Marginal Farmer (Land < 1 Hectare),General,0.63,Rice
FARM0014,Anita Joshi,XXXX-XXXX-8871,1e0627036934255e218f374b77a981ad61f41b54103127e112583a68b224391b,1955-01-01,Female,27,487,,558123,6269953816,"Vill. B, Tal. Y",Big Farmer (Land >=2 Hectare),SC,2.85,Sugarcane
FARM0015,Sunil Khan,XXXX-XXXX-0073,43b18907f93cafacb4ffdac878611e030d02dbcf3c10810825a927a9c0c026bf,1956-12-15,Male,27,498,,534259,6784085532,"Vill. C, Tal. Y",Big Farmer (Land >=2 Hectare),OBC,3.29,Maize
FARM0016,Geeta Mehta,XXXX-XXXX-2130,45727b8cf62cbfe7acd3e84f8d9352513f612563b447aca0871465eb8f285ba8,1967-06-26,Female,27,487,,558123,9884543647,"Vill. A, Tal. X",Big Farmer (Land >=2 Hectare),OBC,4.84,Wheat
FARM0017,Geeta Deshmukh,XXXX-XXXX-6578,1bf898c60496745ec21762b81c5e0f8986455397f8f75d9d98f4d5057fbe732f,1975-04-14,Female,27,466,,558532,8482311051,"Vill. A, Tal. Z",Big Farmer (Land >=2 Hectare),OBC,2.91,Gram
FARM0018,Kavita Yadav,XXXX-XXXX-3403,a66635ac3bac3a6439b6ef8991c189d9674ea96ab114ee6d60d93d803573bc7f,1972-05-04,Female,27,498,,558532,6337929849,"Vill. B, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),SC,1.99,Jowar
FARM0019,Priya Sharma,XXXX-XXXX-6066,66a1b4acdd36f37ad9a53c0626a0a933d0a0147307c0326d79bf733f5717fd8c,1962-05-12,Female,27,498,,558123,8083877650,"Vill. A, Tal. Z",Big Farmer (Land >=2 Hectare),SC,2.76,Maize
FARM0020,Arjun Joshi,XXXX-XXXX-5983,a0b1eebd73b194130a77d57d1f9a9fedbe0375753c806391aa744721f0770420,1989-10-21,Male,27,498,,550323,8005280108,"Vill. B, Tal. Z",Marginal Farmer (Land < 1 Hectare),ST,0.8,Maize
FARM0021,Priya Joshi,XXXX-XXXX-5044,dfd96b8dedbae24b3d67505b2bd446a151b345fdba76f9bd148f7e413e6d2e8e,1972-12-30,Female,27,497,,558532,9143097614,"Vill. E, Tal. Z",Big Farmer (Land >=2 Hectare),ST,3.07,Wheat
FARM0022,Priti Patil,XXXX-XXXX-8720,63b5cbec4a5b15ec85f42d4fef5be221495a0946ee577c39b34bb03e807244ad,1982-11-11,Female,27,469,,558532,6835166741,"Vill. C, Tal. X",Big Farmer (Land >=2 Hectare),ST,3.68,Tur
FARM0023,Sunil Kumar,XXXX-XXXX-1087,5d2c2196bf3c4773e676dcab19849c1a4e97ecb11f8464eca33b1a115b49d906,1979-06-06,Male,27,497,,558532,9026330770,"Vill. C, Tal. Y",Big Farmer (Land >=2 Hectare),SC,2.05,Tur
FARM0024,Anita Kumar,XXXX-XXXX-2178,c9720b7772171d5e1ef8ab50a6a484e8d0bb473cdcd80298047fd9ec2620e6ff,1972-06-10,Female,27,487,,550323,8539887903,"Vill. A, Tal. X",Marginal Farmer (Land < 1 Hectare),General,0.54,Sugarcane
FARM0025,Rajesh Mehta,XXXX-XXXX-3478,03ec86f279d269f544e3c6cd10fd9030b16892a736abca2a7e1c60ba43bf47be,1988-08-23,Male,27,497,,534259,6247997390,"Vill. A, Tal. X",Big Farmer (Land >=2 Hectare),General,4.7,Soybean
FARM0026,Rekha Patil,XXXX-XXXX-9941,d6d67a67435609108af357159e0bf3f7b82bfddebc235be4b57f74505097bcdb,1955-08-30,Female,27,497,,534259,8743541113,"Vill. B, Tal. Z",Big Farmer (Land >=2 Hectare),OBC,4.97,Tur
FARM0027,Geeta Singh,XXXX-XXXX-6093,e9f2930beee6316b52a584c7214ab8aca6393eba260958434ceaa5e47bbcb3aa,1971-08-26,Female,27,498,,558532,9613274524,"Vill. C, Tal. Z",Marginal Farmer (Land < 1 Hectare),ST,0.96,Wheat
FARM0028,Ramesh Patil,XXXX-XXXX-5910,4ea862e0f33db87de470c0db54effb8aec1afcbce09381a8d9e3bb0005f8a64c,1971-12-21,Male,27,498,,552577,7674797854,"Vill. D, Tal. Y",Small Farmer (Land >=1 & <2 Hectare),ST,1.67,Cotton
FARM0029,Priti Patil,XXXX-XXXX-5932,74079209598f94a638a0008c93752d50c646c559b342b140404b34582dcd5e08,1962-08-01,Female,27,466,,550323,7625787216,"Vill. D, Tal. X",Big Farmer (Land >=2 Hectare),SC,2.52,Jowar
FARM0030,Priti Yadav,XXXX-XXXX-6946,cd0c8eb53f5827554eb598a5f5ea1c90d8d302fe367645998fd83121117d1bb1,1997-03-07,Female,27,498,,558532,9641205370,"Vill. C, Tal. Z",Big Farmer (Land >=2 Hectare),SC,3.04,Gram
FARM0031,Prakash Kumar,XXXX-XXXX-7232,a007bafe50ac0a42db14a4a277a86689cee6d19ad218c108061d31eb8f9042d8,1983-03-15,Male,27,466,,558123,7384493151,"Vill. B, Tal. X",Big Farmer (Land >=2 Hectare),ST,2.32,Cotton
FARM0032,Ramesh Mehta,XXXX-XXXX-0107,588a8cdd09027dce83cdf171a0b9c54db8861523987d077250979f873b3e16db,1969-09-29,Male,27,466,,552577,6701982373,"Vill. C, Tal. X",Small Farmer (Land >=1 & <2 Hectare),OBC,1.04,Groundnut
FARM0033,Rajesh Kumar,XXXX-XXXX-1444,88502e0149f6b6927738c89a312e8bfd7babba7e82fbfa64462e46b4315ea96f,1957-12-15,Male,27,469,,550323,8127024472,"Vill. A, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),General,1.01,Groundnut
FARM0034,Prakash Patel,XXXX-XXXX-0109,d3a505e8738de3e0d4b9e97afca7b78d18839f9a78f1644b23befe09691797c8,1975-07-08,Male,27,466,,558123,6359817948,"Vill. C, Tal. Z",Big Farmer (Land >=2 Hectare),SC,4.42,Sugarcane
FARM0035,Amit Kumar,XXXX-XXXX-7984,d42d3ecf5666c7f7665794d208fe846c579d4755982036bf5854fc793f2a97c3,1997-08-21,Male,27,498,,552577,8828209568,"Vill. E, Tal. Y",Big Farmer (Land >=2 Hectare),SC,4.11,Jowar
FARM0036,Sunil Joshi,XXXX-XXXX-1317,82afc79f97c76e728b380b019724ab3dc4e74fd6b08cf79084c8b9e12af561b6,1955-03-15,Male,27,497,,548378,7569677850,"Vill. B, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),ST,1.88,Groundnut
FARM0037,Vijay Singh,XXXX-XXXX-6456,7860782debb7cb3ec20a57726cd4e777cb726f71700168d0a624c1cf74983405,1989-11-25,Male,27,498,,558532,9213585428,"Vill. C, Tal. Y",Big Farmer (Land >=2 Hectare),General,4.48,Maize
FARM0038,Anil Joshi,XXXX-XXXX-2503,10510a63d156c3d950a30138a90d1df2dc214d50a1d0e6be6469955509a94ec9,1959-03-09,Male,27,487,,552577,6562002558,"Vill. B, Tal. Z",Big Farmer (Land >=2 Hectare),General,3.01,Tur
FARM0039,Pooja Yadav,XXXX-XXXX-7201,e3ce02ce6b606c9ab04a09f2df2e762b892899585855da0d40b8f053cd163e48,1967-06-15,Female,27,466,,552577,9296020943,"Vill. C, Tal. Z",Small Farmer (Land >=1 & <2 Hectare),SC,1.73,Soybean
FARM0040,Amit Deshmukh,XXXX-XXXX-6538,b86c13e8f993c479fd4035f91ffec68bc01ea148b5b6c41f3ba92542b39bd6c8,1980-10-19,Male,27,487,,558123,7192608182,"Vill. C, Tal. X",Big Farmer (Land >=2 Hectare),ST,4.59,Jowar
FARM0041,Sunita Kumar,XXXX-XXXX-1784,f9630566e18252f89c86c43429386a027cf4bc777312a4428d0c117ca98ebd68,1990-01-30,Female,27,487,,548378,6727486263,"Vill. C, Tal. X",Big Farmer (Land >=2 Hectare),SC,3.82,Soybean
FARM0042,Amit Singh,XXXX-XXXX-9144,1f59b44a1e4eaa64ff3477fd0d94124f6cee0e80b9d5d867975feb6aa0bdc24d,1989-12-08,Male,27,497,,558123,6036631455,"Vill. B, Tal. Z",Big Farmer (Land >=2 Hectare),SC,2.5,Groundnut
