"farmer_id","farmer_name","aadhaar","aadhaar_hash","dob","gender","state_lgd_code","district_lgd_code","sub_district_lgd_code","village_lgd_code","mobile_no","address","farmer_category","caste_category","farm_area_ha","crop"
"FARM0091","Pooja Joshi","XXXX-XXXX-0728","948c7ca9af3c2e2f85b28ea12d3d116139ec1f91248b56516ce23e9246598f3d","1981-09-25","Female","27","497","","558123","6540842888","Vill. E, Tal. Y","Big Farmer (Land >=2 Hectare)","General","3.22","Cotton"
"FARM0050","Sangeeta Kumar","XXXX-XXXX-1735","f1fda583f30400559b56d332af9cb4d3d8cf2907a695ad6152b60912b5988ab4","1995-08-17","Female","27","498","","548378","8442971132","Vill. C, Tal. Z","Small Farmer (Land >=1 & <2 Hectare)","General","1.85","Cotton"
"FARM0066","Sangeeta Sharma","XXXX-XXXX-2426","b0085f578677f62ee61e55a1c145d37d5c253e155886079c2a70018addb0cbb5","1961-08-12","Female","27","466","","558532","7815162579","Vill. D, Tal. X","Small Farmer (Land >=1 & <2 Hectare)","OBC","1.41","Cotton"
"FARM0011","Suresh Deshmukh","XXXX-XXXX-9132","c218cde3e292453aec1a39f5f287e3d996674e2dab01e5b33db0f746df362b1c","1963-04-15","Male","27","487","","550323","7654828001","Vill. A, Tal. Y","Small Farmer (Land >=1 & <2 Hectare)","General","1.79","Cotton"
"FARM0061","Vijay Patel","XXXX-XXXX-4145","776f45d13d2d77b85353d70999c8e0814edff1607de2d81137312a33b2d02042","1989-03-23","Male","27","469","","548378","8324629932","Vill. E, Tal. Z","Big Farmer (Land >=2 Hectare)","SC","2.19","Cotton"
"FARM0081","Suresh Khan","XXXX-XXXX-6858","117f73b48ea646d1a5c68f6a49d097e79a6313d3afb24db25644203f74c9374b","1995-09-05","Male","27","469","","558532","7345212831","Vill. C, Tal. Z","Big Farmer (Land >=2 Hectare)","SC","3.61","Cotton"
"FARM0055","Amit Patel","XXXX-XXXX-5418","f08415f33861421a153e396b030dcf82b8916ca17f9d4adf86109f9b4b66b6e6","1993-12-28","Male","27","487","","558532","9544536284","Vill. B, Tal. X","Marginal Farmer (Land < 1 Hectare)","SC","0.58","Cotton"
"FARM0031","Prakash Kumar","XXXX-XXXX-7232","a007bafe50ac0a42db14a4a277a86689cee6d19ad218c108061d31eb8f9042d8","1983-03-15","Male","27","466","","558123","7384493151","Vill. B, Tal. X","Big Farmer (Land >=2 Hectare)","ST","2.32","Cotton"
"FARM0058","Mahesh Sharma","XXXX-XXXX-8406","32e9eb8feb36bd70d4b6424483e457bdfc2778a14b63f3479b9ffa7be86fe894","1975-08-09","Male","27","498","","550323","7962247863","Vill. D, Tal. X","Marginal Farmer (Land < 1 Hectare)","ST","0.67","Cotton"
"FARM0028","Ramesh Patil","XXXX-XXXX-5910","4ea862e0f33db87de470c0db54effb8aec1afcbce09381a8d9e3bb0005f8a64c","1971-12-21","Male","27","498","","552577","7674797854","Vill. D, Tal. Y","Small Farmer (Land >=1 & <2 Hectare)","ST","1.67","Cotton"
"FARM0088","Anil Deshmukh","XXXX-XXXX-9175","7495ab78435b4c78ccdb66dd919e357c622f191d6f9b595f2cc5d315b538ee08","1980-07-12","Male","27","466","","552577","6958453774","Vill. E, Tal. Z","Small Farmer (Land >=1 & <2 Hectare)","ST","1.01","Cotton"
"FARM0017","Geeta Deshmukh","XXXX-XXXX-6578","1bf898c60496745ec21762b81c5e0f8986455397f8f75d9d98f4d5057fbe732f","1975-04-14","Female","27","466","","558532","8482311051","Vill. A, Tal. Z","Big Farmer (Land >=2 Hectare)","OBC","2.91","Gram"
"FARM0064","Kavita Mehta","XXXX-XXXX-6693","359168ef17293e03938ac52c95a7775fc48a7c7a73f3e942f0a5cddece168422","1997-07-10","Female","27","497","","552577","6250180603","Vill. C, Tal. X","Big Farmer (Land >=2 Hectare)","OBC","2.19","Gram"
"FARM0099","Rekha Yadav","XXXX-XXXX-9459","ff576af88fc05014fbb4517f18e694207135c02581fc8c952884444ff5bbe634","1955-10-15","Female","27","497","","548378","6703897022","Vill. E, Tal. Z","Small Farmer (Land >=1 & <2 Hectare)","OBC","1.02","Gram"
"FARM0008","Anita Yadav","XXXX-XXXX-0575","67f208d3dd57ce58473b4482604b1e9693b646ced9a9ab4e0e5b990c281d65cb","1996-11-02","Female","27","497","","552577","7757173604","Vill. E, Tal. Y","Big Farmer (Land >=2 Hectare)","SC","2.37","Gram"
